song,artist,genre,year,lyric_corpus
I Love You,포지션,발라드,2001,눈물 한방울도 보여선 안되겠죠
I Love You,포지션,발라드,2001,어떻게든 그댈 잡아 두고 싶은걸
I Love You,포지션,발라드,2001,이제와서 무슨 소용 있겠어요
I Love You,포지션,발라드,2001,우리 사랑 안될거라 생각했죠
I Love You,포지션,발라드,2001,의미 없는 말이 되었지만
I Love You,포지션,발라드,2001,오랜 후에서야 내게 해준
I Love You,포지션,발라드,2001,너무나도 아름다웠기에
I Love You,포지션,발라드,2001,우리 다시 만날텐데
I Love You,포지션,발라드,2001,사랑한다는 이 말 밖에는
I Love You,포지션,발라드,2001,미소로 날 떠나요
I Love You,포지션,발라드,2001,그대 그 한마디
I Love You,포지션,발라드,2001,돌이킬 수 없는 걸 잘 알고 있지만
I Love You,포지션,발라드,2001,느낀 그 떨림
I Love You,포지션,발라드,2001,해줄 말이 없네요
I Love You,포지션,발라드,2001,돌아서려 했었던 내 앞의 그대는
I Love You,포지션,발라드,2001,기억하나요 처음 그대에게
I Love You,포지션,발라드,2001,찾아낼 수 있게
I Love You,포지션,발라드,2001,언제라도 그대를 찾아낼 수 있게
I Love You,포지션,발라드,2001,이 세상 아니라도 언젠가
I Love You,포지션,발라드,2001,다신 볼 수 없는 이별인데
I Love You,포지션,발라드,2001,꿈만같은 사랑으로 다가 왔었죠
I Love You,포지션,발라드,2001,너무 쉽게 헤어질 사랑하진 마요
I Love You,포지션,발라드,2001,사랑에 빠지게 만들었던
I Love You,포지션,발라드,2001,그 미소 하나로
I Love You,포지션,발라드,2001,그 미소 하나로 언제라도 그대를
I Love You,포지션,발라드,2001,약속 하나만 해요 이렇게 아프게
I Love You,포지션,발라드,2001,언젠가 우리 다시 만나면
미안해요,김건모,발라드,2001,어둡고 험한 세상 밝게 비춰주네요
미안해요,김건모,발라드,2001,그대는 나만의 등불이여
미안해요,김건모,발라드,2001,그대가 좋아한 장미꽃 한송이조차
미안해요,김건모,발라드,2001,그대의 뜨거운 눈물이 맘에 걸려
미안해요,김건모,발라드,2001,무심한 나를 용서할수 있나요
미안해요,김건모,발라드,2001,내맘이 아파요
미안해요,김건모,발라드,2001,아직도 못다한 말 그댈 사랑해요
미안해요,김건모,발라드,2001,그대여 지금껏 그 흔한 옷한벌 못해주고
미안해요,김건모,발라드,2001,지금껏 살아요
미안해요,김건모,발라드,2001,이 못난 날 만나 얼마나 맘 고생 많았는지
미안해요,김건모,발라드,2001,보고 또 보고 싶은 나만의 사랑
미안해요,김건모,발라드,2001,그 고왔던 얼굴이 많이도 변했어요
미안해요,김건모,발라드,2001,그대는 나만의 여인이여
미안해요,김건모,발라드,2001,사는게 힘들어 모든걸 버리고 싶었지만
미안해요,김건모,발라드,2001,그대의 생일날 따뜻한 밥 한번 못 사주고
미안해요,김건모,발라드,2001,어느새 거칠은 손한번 잡아주지 못했던
미안해요,김건모,발라드,2001,건네지 못했던 나를 용서할수 있나요
또 한번 사랑은 가고,이기찬,발라드,2001,모두 잊어버린채
또 한번 사랑은 가고,이기찬,발라드,2001,멀어지는 모습
또 한번 사랑은 가고,이기찬,발라드,2001,한마디 말 앞에
또 한번 사랑은 가고,이기찬,발라드,2001,너무 한심해서
또 한번 사랑은 가고,이기찬,발라드,2001,이제 난 웃는 법까지
또 한번 사랑은 가고,이기찬,발라드,2001,다만 한가지
또 한번 사랑은 가고,이기찬,발라드,2001,오 난 이렇게
또 한번 사랑은 가고,이기찬,발라드,2001,내 모습이 이 젠
또 한번 사랑은 가고,이기찬,발라드,2001,널 보냈듯이
또 한번 사랑은 가고,이기찬,발라드,2001,헤어지잔 너의
또 한번 사랑은 가고,이기찬,발라드,2001,사랑은 가고
또 한번 사랑은 가고,이기찬,발라드,2001,너무 지겨워서
또 한번 사랑은 가고,이기찬,발라드,2001,또 한번 사랑은 가고
또 한번 사랑은 가고,이기찬,발라드,2001,또 난 눈물만 흘렸어
또 한번 사랑은 가고,이기찬,발라드,2001,멀어져만 가고
또 한번 사랑은 가고,이기찬,발라드,2001,이러는게 이젠
또 한번 사랑은 가고,이기찬,발라드,2001,눈물이 흐르고
또 한번 사랑은 가고,이기찬,발라드,2001,이별의 말들도
또 한번 사랑은 가고,이기찬,발라드,2001,다시는 맘을
또 한번 사랑은 가고,이기찬,발라드,2001,열지 못할까봐 오
또 한번 사랑은 가고,이기찬,발라드,2001,또 내 눈엔
또 한번 사랑은 가고,이기찬,발라드,2001,그 멋진 표정도
또 한번 사랑은 가고,이기찬,발라드,2001,너무 익숙해서
또 한번 사랑은 가고,이기찬,발라드,2001,많이 겪어봐서
또 한번 사랑은 가고,이기찬,발라드,2001,웃으며 보내보려고
또 한번 사랑은 가고,이기찬,발라드,2001,널 간직할게
또 한번 사랑은 가고,이기찬,발라드,2001,내가 정말 두려운 거는
또 한번 사랑은 가고,이기찬,발라드,2001,감추는 일이
또 한번 사랑은 가고,이기찬,발라드,2001,흐르는 눈물
또 한번 사랑은 가고,이기찬,발라드,2001,바라보고 있고
화장을 고치고,왁스,발라드,2001,날 보면 실망할까봐 오늘도 나는
화장을 고치고,왁스,발라드,2001,살다가 널 만나면
화장을 고치고,왁스,발라드,2001,아무것도 난 해준게 없어 받기만 했을뿐
화장을 고치고,왁스,발라드,2001,왜 사랑했는지 왜 떠나야 했는지
화장을 고치고,왁스,발라드,2001,설레이는 맘으로 화장을 다시 고치곤해
화장을 고치고,왁스,발라드,2001,어떻게든 우린 다시 사랑해 야해
화장을 고치고,왁스,발라드,2001,널 위해 남겨둔 내 사랑을 받아줘
화장을 고치고,왁스,발라드,2001,아무 소식도 없는데 세월에 변해버린
화장을 고치고,왁스,발라드,2001,이제야 알겠어  보잘것 없지만
화장을 고치고,왁스,발라드,2001,나같은 여자를 왜 사랑했는지
화장을 고치고,왁스,발라드,2001,모질게 따지고 싶어 힘든 세상에
화장을 고치고,왁스,발라드,2001,왜 떠나야 했는지 어떻게든
화장을 고치고,왁스,발라드,2001,그땐 너무 어려서 몰랐던 사랑을
화장을 고치고,왁스,발라드,2001,어떻게든 우린 다시 사랑해야해
화장을 고치고,왁스,발라드,2001,아무것도 난 해준게 없어
화장을 고치고,왁스,발라드,2001,우린 다시 사랑해야 해
화장을 고치고,왁스,발라드,2001,그래서 미안해 나같은 여자를
화장을 고치고,왁스,발라드,2001,나홀로 남겨두고 왜 연락 한번 없었느냐고
화장을 고치고,왁스,발라드,2001,하루가 지나 몇 해가 흘러도
화장을 고치고,왁스,발라드,2001,받기만 했을뿐 그래서 미안해
화장을 고치고,왁스,발라드,2001,우연히 날 찾아와 사랑만 남기고 간 너
먼곳에서,박효신,발라드,2001,눈을뜨면 새롭게 시작되는 아침을
먼곳에서,박효신,발라드,2001,함께 했던 우리의 약속들을
먼곳에서,박효신,발라드,2001,언젠간 이렇게 될 수 있길 바랬지
먼곳에서,박효신,발라드,2001,잊어버려 그게 너를 위한 일이라면
먼곳에서,박효신,발라드,2001,나는 지금 여기 있어
먼곳에서,박효신,발라드,2001,그렇지만 너에겐 보이지 않는것일뿐
먼곳에서,박효신,발라드,2001,이제 나를 잊어버릴 수 있게
먼곳에서,박효신,발라드,2001,아무일도 없었던 것처럼
먼곳에서,박효신,발라드,2001,더 이상 아프지 않게
먼곳에서,박효신,발라드,2001,바로 너의 곁에 있지
