song,artist,genre,year,lyric_corpus
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드,2019,일부러 몇 발자국 물러나 내가 없이 혼자 걷는 널바라본 다 옆자리 허전한너의 풍경 흑백거리 가운데 넌 뒤돌아본다
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드,2019,그때 알게 되었어
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드,2019,난 널떠날 수 없단 걸 우리 사이에 그 어떤 힘든 일도 이별 보단 버틸 수 있는 것들이었죠
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드,2019,어떻게 이별까지 사랑하겠어 널 사랑하는 거지 사랑이라는 이유로 서로를 포기하고 찢어질 것같이 아파할 수 없어 난 두 세 번 더 길을 돌아갈까 적막 짙은 도로 위에 걸음을 포갠다
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드,2019,아무 말 없는 대화나누며 주마 등이 길을 비춘 먼 곳을 본다 그때 알게 되었어
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드,2019,난 더 갈 수 없단걸 한 발한 발이 별에 가까워질수록 너와 맞잡은 손 이 사라지는 것 같죠
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드,2019,어떻게 이별까지 사랑하겠어 널 사랑하는 거지 사랑이라는 이유로 서로를 포기하고 찢어질 것같이 아파할 수 없어 난 어떻게 내가 어떻게 너를 이후에 우리 바다처럼 깊은 사랑이다마를 때까지 기다리는 게 이별 일 텐데 어떻게 내가 어떻게 너를 이후에 우리 바다처럼 깊은 사랑이다마를 때까지 기다리는 게 이별 일 텐데
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드,2020,일부러 몇 발자국 물러나 내가 없이 혼자 걷는 널바라본 다 옆자리 허전한너의 풍경 흑백거리 가운데 넌 뒤돌아본다
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드,2020,그때 알게 되었어
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드,2020,난 널떠날 수 없단 걸 우리 사이에 그 어떤 힘든 일도 이별 보단 버틸 수 있는 것들이었죠
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드,2020,어떻게 이별까지 사랑하겠어 널 사랑하는 거지 사랑이라는 이유로 서로를 포기하고 찢어질 것같이 아파할 수 없어 난 두 세 번 더 길을 돌아갈까 적막 짙은 도로 위에 걸음을 포갠다
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드,2020,아무 말 없는 대화나누며 주마 등이 길을 비춘 먼 곳을 본다 그때 알게 되었어
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드,2020,난 더 갈 수 없단걸 한 발한 발이 별에 가까워질수록 너와 맞잡은 손 이 사라지는 것 같죠
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),발라드,2020,어떻게 이별까지 사랑하겠어 널 사랑하는 거지 사랑이라는 이유로 서로를 포기하고 찢어질 것같이 아파할 수 없어 난 어떻게 내가 어떻게 너를 이후에 우리 바다처럼 깊은 사랑이다마를 때까지 기다리는 게 이별 일 텐데 어떻게 내가 어떻게 너를 이후에 우리 바다처럼 깊은 사랑이다마를 때까지 기다리는 게 이별 일 텐데
