song,artist,genre,year,lyric_corpus
I Love You,포지션,발라드,2001,사랑한다는 이 말밖에는 해줄 말이 없네요
I Love You,포지션,발라드,2001,의미 없는 말이 되었지만 사랑해요
I Love You,포지션,발라드,2001,이제와서 무슨 소용 있겠어요
I Love You,포지션,발라드,2001,다신볼 수 없는 이별인데 돌이킬 수 없는 걸 잘 알고 있지만 어떻게든 그 댈 잡아두고 싶은 걸 이 세상 아니라도 언젠가 우리 다시 만날 텐데 눈물 한 방울도 보여선 안 되겠죠
I Love You,포지션,발라드,2001,사랑에 빠지게 만들었던 미소로 날 떠나요
I Love You,포지션,발라드,2001,그 미소 하나로 언제라도 그대를 찾아낼 수 있게 기억 하나요
I Love You,포지션,발라드,2001,처음 그대에게 느낀 그 떨림 오랜 후에서야 내게 해준 그대그 한마디 우리 사랑 안 될 거라 생각했죠
I Love You,포지션,발라드,2001,너무나도 아름다웠 기에 돌아서려 했었던 내 앞의 그대는 꿈만 같은 사랑으로 다가왔었죠
I Love You,포지션,발라드,2001,이 세상 아니라도 언젠가 우리 다시 만날 텐데 눈물 한 방울도 보여선 안 되겠죠
I Love You,포지션,발라드,2001,그 미소 하나로 언제라도 그대를 찾아낼 수 있게 언젠가 우리 다시 만나면 약속 하나만 해요
I Love You,포지션,발라드,2001,이렇게 아프게 너무 쉽게 헤어질 사랑하진 마요
미안해요,김건모,발라드,2001,그대는 나만의 여인이 여보고 또 보고 싶은 나만의 사랑 그대는 나만의 등불이 여 어둡고 험한 세상 밝게 비춰주네요
미안해요,김건모,발라드,2001,지금껏 그 흔한 옷 한 벌 못해주고 어느새 거칠은 손 한번 잡아주지 못했던 무심한 나를 용서할 수 있나요
미안해요,김건모,발라드,2001,미안해요
미안해요,김건모,발라드,2001,이 못난 날 만나 얼마나 맘 고생 많았는지 그 고왔던 얼굴이 많이도변했어요
미안해요,김건모,발라드,2001,내맘이 아파요
미안해요,김건모,발라드,2001,그대는 나만의 여인이 여아직도 못다한 말 그 댈 사랑해요
미안해요,김건모,발라드,2001,그대의 생일 날 따뜻한 밥 한 번 못 사주고 그 대가 좋아 한 장미꽃 한 송이조차 건네지 못했던 나를 용서할 수 있나요
미안해요,김건모,발라드,2001,사는 게 힘들어 모든 걸 버리고 싶었지만 그대의 뜨거운 눈물이 맘에 걸려 지금껏 살아요
또 한번 사랑은 가고,이기찬,발라드,2001,울고 있는 내 모습이 이젠 항상 나만이러는 게 이젠 너무 지겨워서 너무 한심해서 웃으며 보내보려고 해봤어 연습했던 그 멋진 표정도 준비했던 이별의 말들도 헤어지잔너의 한 마디 말 앞에 모두 잊어버린 채 또 난 눈물만 흘렸어
또 한번 사랑은 가고,이기찬,발라드,2001,난 이렇게 바라보고 있고 넌 그렇게 멀어져만 가고 또 내 눈엔 눈물이 흐르고 또 한 번 사랑은 가고 멀어지는 모습보는 일이 흐르는 눈물감추는 일이 너무 익숙해서 많이 겪어봐서 이제 난 웃는 법까지 배웠어
또 한번 사랑은 가고,이기찬,발라드,2001,음사랑하고 도 널 보냈듯이 헤어지고 도 널 간직할 게 다만 한 가지 내 가
또 한번 사랑은 가고,이기찬,발라드,2001,정말 두려운 거는 다시는 맘을 열지 못할까봐 오난 이렇게 바라보고 있고 넌 그렇게 멀어져만 가고 또 내 눈엔 눈물이 흐르고 또 한번 사랑은 가고 오난 이렇게 바라보고 있고 넌 그렇게 멀어져만 가고 또 내 눈엔 눈물이 흐르고 또 한번 사랑은 가고 또 한번 사랑은 가고
화장을 고치고,왁스,발라드,2001,우연히 날 찾아와 사랑만 남기고 간 너 하루가 지나 몇 해가 흘러도 아무 소식도 없는데 세월에 변해버린 날 보면 실망할까봐 오늘도 나는 설레이는 맘으로 화장을 다시 고치곤 해 아무것도 난해준 게 없어 받기만 했을 뿐 그래서 미안해나 같은 여자를 왜 사랑했는지 왜 떠나야 했는지 어떻게든 우린 다시 사랑해야 해 살다가 널 만나면 모질게 따지고 싶어 힘든 세상에 나홀로 남겨두고 왜 연락 한 번 없었느냐고 아무것도 난해준 게 없어 받기만 했을 뿐 그래서 미안해나 같은 여자를 왜 사랑했는지 왜 떠나 야 했는지 어떻게든 우린 다시 사랑해야 해 그 땐 너무 어려서 몰랐던 사랑을 이제야 알겠어보잘것 없지만 널위해 남겨둔 내 사랑을 받아줘
화장을 고치고,왁스,발라드,2001,어떻게든 우린 다시 사랑해야 해
먼곳에서,박효신,발라드,2001,지금 너는 내일을 믿고 있는 지칠흙 같은 밤들이 지나고 아무 일도 없었던 것처럼 눈을 뜨면 새롭게 시작되는 아침을 언젠간 이렇게 될 수 있길 바랬지
먼곳에서,박효신,발라드,2001,너의 슬픔이 모두 끝날 수 있게 잊어버려 그게 너를 위한 일이라면 함께했던 우리의 약속들을 나는 지금 여기 있어 바로 너의 곁에 있어
먼곳에서,박효신,발라드,2001,그렇지만 너에겐 보이지 않는 것일 뿐 내가 너를 지켜줄 게 더 이상 아프지 않게 이제 나를 잊어버릴 수 있게 언젠간 이렇게 될 수 있길 바랬지
먼곳에서,박효신,발라드,2001,너의 슬픔이 모두 끝날 수 있게 잊어버려 그게 너를 위한 일이라면 함께했던 우 리의 약속들을 나는 지금 여기 있어 바로 너의 곁에 있어
먼곳에서,박효신,발라드,2001,그렇지만 너에겐 보이지 않는 것일 뿐 내가 너를 지켜줄 게 더 이상 아프지 않게 이제 나를 잊어버릴 수 있게 나는 지금 여기 있지
