song,artist,genre,year,lyric_corpus,sentiment_5차년도,sentiment_단발성+말뭉치,sentiment_단발성,sentiment,sentiment_결과
당신은 모르실거야 (CF - LIG 핑클편),핑클 (Fin.K.L),발라드,2001,당신은 모르실 거야,중립,공포,공포,공포,공포
당신은 모르실거야 (CF - LIG 핑클편),핑클 (Fin.K.L),발라드,2001,얼마나 사랑했는지 세월이 흘러가면은 그때서 뉘우칠거야,슬픔,분노,슬픔,분노,분노
당신은 모르실거야 (CF - LIG 핑클편),핑클 (Fin.K.L),발라드,2001,마음이 서글플 때나 초라해 보일 때에는 이름을 불러주세요,중립,슬픔,슬픔,슬픔,슬픔
당신은 모르실거야 (CF - LIG 핑클편),핑클 (Fin.K.L),발라드,2001,나 여기 서 있을 게요 두 눈에 넘쳐 흐르는 뜨거운 나의 눈물로 당신의 아픈 마음을 깨끗이 씻어드릴게요,공포,행복,행복,행복,행복
당신은 모르실거야 (CF - LIG 핑클편),핑클 (Fin.K.L),발라드,2001,얼마나 사랑했는지 뒤돌아봐 주세요,슬픔,슬픔,슬픔,슬픔,슬픔
당신은 모르실거야 (CF - LIG 핑클편),핑클 (Fin.K.L),발라드,2001,당신의 사랑은 나요,슬픔,슬픔,슬픔,슬픔,슬픔
좋은 사람 (Feat. 김형중),토이,발라드,2001,오늘은 무슨 일인 거니 울었던 얼굴 같은 걸 그가 너의 마음을 아프게 했니,슬픔,슬픔,슬픔,슬픔,슬픔
좋은 사람 (Feat. 김형중),토이,발라드,2001,나에겐 세상 제일 소중한 너인데 자판기 커피를 내밀어 그 속에 감춰온 내 맘을 담아 고마워,행복,행복,행복,행복,행복
좋은 사람 (Feat. 김형중),토이,발라드,2001,오빠는 너무 좋은 사람이야,행복,행복,행복,행복,행복
좋은 사람 (Feat. 김형중),토이,발라드,2001,그 한마디에 난 웃을 뿐 혹시 넌 기억하고 있을까,슬픔,공포,공포,공포,공포
좋은 사람 (Feat. 김형중),토이,발라드,2001,내 친구 학교 앞에 놀러왔던 날 우리들 연인 같다 장난쳤을 때 넌 웃었고 난 밤 지새웠지,슬픔,행복,행복,행복,행복
좋은 사람 (Feat. 김형중),토이,발라드,2001,네가 웃으면 나도 좋아 넌 장난이라 해도 널 기다렸던 날 널 보고 싶던 밤,슬픔,행복,행복,행복,행복
좋은 사람 (Feat. 김형중),토이,발라드,2001,내겐 벅찬 행복 가득한데,중립,행복,슬픔,행복,행복
좋은 사람 (Feat. 김형중),토이,발라드,2001,나는 혼자여도 괜찮아 널 볼 수만 있다면,공포,슬픔,슬픔,슬픔,슬픔
좋은 사람 (Feat. 김형중),토이,발라드,2001,늘 너의 뒤에서 늘 널 바라보는 그게 내가 가진 몫인 것만 같아,슬픔,행복,행복,행복,행복
좋은 사람 (Feat. 김형중),토이,발라드,2001,친구들 지겹다 말하지 늘 같은 노랠 부르는 나에게 하지만 그게 바로 내 마음인 걸 그대 먼 곳만 보네요,슬픔,행복,슬픔,행복,행복
좋은 사람 (Feat. 김형중),토이,발라드,2001,혹시 너는 그날 내 맘을 알까,슬픔,공포,공포,공포,공포
좋은 사람 (Feat. 김형중),토이,발라드,2001,우리들 아는 친구 모두 모인 밤 술 취한 널 데리러 온 그를 내게 인사시켰던 나의 생일날,중립,행복,행복,행복,행복
좋은 사람 (Feat. 김형중),토이,발라드,2001,네 옆에 그를 보며 나완 너무 다른 난 초라해지는 그에게 널 부탁한다는 말 밖에 널 울리는 사람과 위로밖에 못하는 나,슬픔,행복,행복,행복,행복
좋은 사람 (Feat. 김형중),토이,발라드,2001,네가 웃으면 나도 좋아 넌 장난이라 해도 널 기다렸던 날 널 보고 싶던 밤 내겐 벅찬 행복 가득한데,행복,행복,행복,행복,행복
좋은 사람 (Feat. 김형중),토이,발라드,2001,나는 혼자여도 괜찮아 널 볼 수만 있다면 나 늘 너의 뒤에서 늘 널 바라보는 그게 내가 가진 몫인 것만 같아,슬픔,슬픔,행복,슬픔,슬픔
편지 (Original Ver.),최재훈,발라드,2001,내 영혼이 내 몸을 벗고 자유롭게 될 거야,슬픔,중립,중립,중립,중립
편지 (Original Ver.),최재훈,발라드,2001,그럼 나의 사랑도 힘든 세상에 다 두고 갈 거야,슬픔,슬픔,슬픔,슬픔,슬픔
편지 (Original Ver.),최재훈,발라드,2001,그림자로 살아갈 만큼 강한 내가 아니야 널 갖지 못한 나슬픔이 많던 나 모두 함께 태워 뿌려줘,분노,슬픔,행복,슬픔,슬픔
편지 (Original Ver.),최재훈,발라드,2001,널 처음 본날 영화처럼 스쳐가 내 운명을 돌려놓은 그날이 이 세상은 감히 너를 선택한 벌이었나 봐,분노,분노,분노,분노,분노
편지 (Original Ver.),최재훈,발라드,2001,니가 없는 곳에 태어날 거야,슬픔,분노,혐오,분노,분노
편지 (Original Ver.),최재훈,발라드,2001,널 잊게 될 테니 가엾은 날 너무 욕하지는 마,분노,혐오,혐오,혐오,혐오
편지 (Original Ver.),최재훈,발라드,2001,내가 너로 인해 떠났다고 힘들어 하지마,슬픔,슬픔,슬픔,슬픔,슬픔
편지 (Original Ver.),최재훈,발라드,2001,그저 새로 시작하고 싶었어 사랑했어,슬픔,행복,행복,행복,행복
편지 (Original Ver.),최재훈,발라드,2001,그래서 내가 미치기 전에 멈춰야만 했어,슬픔,슬픔,슬픔,슬픔,슬픔
편지 (Original Ver.),최재훈,발라드,2001,나도 내 사랑이 힘에 겨워 서널 처음 본날 영화처럼 스쳐가 내 운명을 돌려놓은 그날이 이 세상은 감히 널 선택한 벌이었나 봐,슬픔,슬픔,분노,슬픔,슬픔
편지 (Original Ver.),최재훈,발라드,2001,나를 널 다치게 할까봐 끝도 없이 달릴 사랑 때문에 이젠 멈춰진 거야,슬픔,슬픔,슬픔,슬픔,슬픔
편지 (Original Ver.),최재훈,발라드,2001,나도 내 사랑도 정말 힘에 겨웠어,슬픔,슬픔,슬픔,슬픔,슬픔
Monologue,테이,발라드,2022,다 잊었다는 거짓말 또해버렸죠,슬픔,슬픔,놀람,슬픔,슬픔
Monologue,테이,발라드,2022,내 마음에 그대란 사람 없다고 했죠,슬픔,분노,슬픔,분노,분노
Monologue,테이,발라드,2022,너무나 쉽게 잊혀졌다고 이젠 남이라고 서툰 내 사랑에 지쳐 떠난 그대 너무 많이 울려서 잡을 용기조차 낼 수 없었죠,슬픔,행복,슬픔,행복,행복
Monologue,테이,발라드,2022,미안해요,중립,슬픔,슬픔,슬픔,슬픔
Monologue,테이,발라드,2022,내 사랑아 다신 나 같은 사람 만나지마요,행복,슬픔,슬픔,슬픔,슬픔
Monologue,테이,발라드,2022,혹시 찾아가도 두 번 다시 나를 허락해주지마요,슬픔,공포,공포,공포,공포
Monologue,테이,발라드,2022,그대는 여리고 너무 착해서 싫단 말도 잘못하는데 많이 부족한 나를 사랑한 그대 이거면 됐어요,분노,행복,행복,행복,행복
Monologue,테이,발라드,2022,너무 투명해서 때로는 불안했죠,슬픔,공포,공포,공포,공포
Monologue,테이,발라드,2022,제멋대로 살아온 나를 감당할 수 없을 것 같죠,슬픔,슬픔,슬픔,슬픔,슬픔
Monologue,테이,발라드,2022,그대는 여리고 너무 착해서 싫단 말도 잘못하는데 고마웠어요,슬픔,행복,행복,행복,행복
Monologue,테이,발라드,2022,나를 사랑해줘서 나 같은 사람이 두 번 다시 감히 받을 수 없는 사랑 그대 때문에 행복했어요,행복,행복,행복,행복,행복
Monologue,테이,발라드,2022,울지마요,공포,슬픔,슬픔,슬픔,슬픔
Monologue,테이,발라드,2022,그대 잘 생각해 봐요,분노,슬픔,행복,슬픔,슬픔
Monologue,테이,발라드,2022,나쁜 일들만 가득했던 우리 다 잊어야 해요,중립,슬픔,슬픔,슬픔,슬픔
Monologue,테이,발라드,2022,다신 나 같은 사람 만나지마요,슬픔,슬픔,슬픔,슬픔,슬픔
Monologue,테이,발라드,2022,더 이상은 그대 불행하지 않도록 나 이쯤에서 없어지는 게 그대를 위한 나의 사랑인 걸요,분노,행복,슬픔,행복,행복
라라라,SG 워너비,발라드,2021,그대는 참 아름다워요 밤하늘의 별빛보다 빛나요,중립,행복,행복,행복,행복
라라라,SG 워너비,발라드,2021,지친 나의 마음을 따뜻하게 감싸줄 그대품이 나의 집이죠,슬픔,행복,행복,행복,행복
라라라,SG 워너비,발라드,2021,세찬 바람 앞에서 꺼질 듯한 내 사랑도 잘 참고서 이겨내줬어요,슬픔,행복,행복,행복,행복
라라라,SG 워너비,발라드,2021,정말 눈물 나도록 고마운 마음 아나요,슬픔,행복,행복,행복,행복
라라라,SG 워너비,발라드,2021,그대 내 곁에 살아줘서 사랑해요,슬픔,행복,행복,행복,행복
라라라,SG 워너비,발라드,2021,내가 그대에게 부족한 것을 알지만 세월을 걷다 보면 지칠 때도 있지만 그대의 쉴 곳이 되리라,슬픔,행복,행복,행복,행복
라라라,SG 워너비,발라드,2021,사랑해요 고마운 내 사랑 평생 그대만을 위해 부를 이 노래 사랑 노래 함께 불러요,행복,행복,행복,행복,행복
라라라,SG 워너비,발라드,2021,그대의 쳐진 어깨가 내 맘을 아프게 해요,슬픔,슬픔,슬픔,슬픔,슬픔
라라라,SG 워너비,발라드,2021,잘 해준 것도 없는 나라서 그대의 고운 손이 세월에 변했어요,슬픔,놀람,중립,놀람,놀람
라라라,SG 워너비,발라드,2021,못 지켜줘서 미안해요,중립,슬픔,슬픔,슬픔,슬픔
라라라,SG 워너비,발라드,2021,고마워요,행복,행복,행복,행복,행복
라라라,SG 워너비,발라드,2021,그대 자신보다 나를 아껴준 사랑 세상이 등 돌려도 누가 뭐라고 해도 내가 그대 지켜줄게요,슬픔,행복,행복,행복,행복
라라라,SG 워너비,발라드,2021,사랑해요 소중한 내 사랑 평생 그대만을 위해 부를 이 노래 사랑 노래 함께 불러요,행복,행복,행복,행복,행복
라라라,SG 워너비,발라드,2021,둘이서 라라라,슬픔,중립,중립,중립,중립
라라라,SG 워너비,발라드,2021,그대 품이 나의 집이죠,공포,슬픔,슬픔,슬픔,슬픔
