artist,song,lyric_corpus,sentiment
김민석 (멜로망스),취중고백,요즘 난 미친 사람처럼,기쁨
김민석 (멜로망스),취중고백,무작정 달려왔어,분노
김민석 (멜로망스),취중고백,잠시 나올래,기쁨
김민석 (멜로망스),취중고백,아냐 안 취했어 진짜야,슬픔
김민석 (멜로망스),취중고백,귀찮게 안할게 혼자 아플게,기쁨
김민석 (멜로망스),취중고백,정말로 몰랐니,분노
김민석 (멜로망스),취중고백,이 맘 모르겠니,분노
김민석 (멜로망스),취중고백,갑자기 이런 말 놀랐다면 미안해,기쁨
김민석 (멜로망스),취중고백,눈물이 날만큼 원하고 있어,슬픔
김민석 (멜로망스),취중고백,지금 당장 대답하진마,분노
김민석 (멜로망스),취중고백,널 정말 사랑해,기쁨
김민석 (멜로망스),취중고백,진심이야 너를 사랑하고 있어,기쁨
김민석 (멜로망스),취중고백,주말엔 뭐할거냐며,기쁨
김민석 (멜로망스),취중고백,하지만 내 고백도 이해해 주겠니,분노
김민석 (멜로망스),취중고백,친구들 만나서 오랜만에,기쁨
김민석 (멜로망스),취중고백,대책없이 네가 점점 좋아져,기쁨
김민석 (멜로망스),취중고백,그리고 한번씩 누나 주려 샀는데,기쁨
김민석 (멜로망스),취중고백,뭐하고 있었니 늦었지만,기쁨
김민석 (멜로망스),취중고백,너의 집 골목에 있는,분노
김민석 (멜로망스),취중고백,너의 관심 끌던 나를,분노
김민석 (멜로망스),취중고백,놀이터에 앉아 있어,기쁨
김민석 (멜로망스),취중고백,술을 좀 했는데,기쁨
김민석 (멜로망스),취중고백,진심이야 믿어줘,기쁨
김민석 (멜로망스),취중고백,부담이 되는게 당연해,기쁨
김민석 (멜로망스),취중고백,후회없이 잘 해주고 싶은데,기쁨
김민석 (멜로망스),취중고백,가끔 전화해 장난치듯,기쁨
김민석 (멜로망스),취중고백,너 그냥 준다고,분노
김민석 (멜로망스),취중고백,나 그때 포기할게,슬픔
김민석 (멜로망스),취중고백,너만 생각해,분노
김민석 (멜로망스),취중고백,생색 낸 선물도 너 때문에 산거야,불안
김민석 (멜로망스),취중고백,나와 일주일만 사귀어줄래,슬픔
김민석 (멜로망스),취중고백,그 후에도 니가 싫다면,기쁨
김민석 (멜로망스),취중고백,자꾸만 니 얼굴 떠올라,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,끝 모양과 저 달보다,분노
"경서예지, 전건호",다정히 내 이름을 부르면,내 인생의 전부였다고,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,너의 앞에 서있는 지금,분노
"경서예지, 전건호",다정히 내 이름을 부르면,모래 위 떨린 손끝으로,슬픔
"경서예지, 전건호",다정히 내 이름을 부르면,나 하날 위해 준비된,슬픔
"경서예지, 전건호",다정히 내 이름을 부르면,다 줘도 안 아까워,불안
"경서예지, 전건호",다정히 내 이름을 부르면,고백할게 언제나,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,귓가에 말할 거야,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,이제서야 내가,분노
"경서예지, 전건호",다정히 내 이름을 부르면,부는 바람에 살며시 실어 보내,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,먼 훗날 내 생애,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,널 사랑한다고,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,하늘 아래 너와 나,분노
"경서예지, 전건호",다정히 내 이름을 부르면,별빛 아래 우리 그림자,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,다정히 내 이름을,불안
"경서예지, 전건호",다정히 내 이름을 부르면,남은 내 모든 날을 너에게,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,사랑에 눈을 뜬 건 가봐,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,두 뺨을 스치고,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,제일로 특별하다고,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,날 향해 웃어주는 입술,분노
"경서예지, 전건호",다정히 내 이름을 부르면,끝없이 별빛이 내리던 밤,분노
"경서예지, 전건호",다정히 내 이름을 부르면,아름다운 너와 나,슬픔
"경서예지, 전건호",다정히 내 이름을 부르면,5월에 피는 봄꽃 처럼,슬픔
"경서예지, 전건호",다정히 내 이름을 부르면,경험하지 못했고,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,길고 긴 겨울 끝을 지나,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,사랑스러운 두 눈을 가진 네가,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,우리 모든 날들과,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,그림을 그려갔어,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,녹아내려 언제나,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,새벽 바다 한곳을 보는,분노
"경서예지, 전건호",다정히 내 이름을 부르면,믿기지 않는 일만,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,너와 함께 걷는 거 같아,분노
"경서예지, 전건호",다정히 내 이름을 부르면,어떤 말로도 표현 못 할,상처
"경서예지, 전건호",다정히 내 이름을 부르면,이 순간 너를 꼭 안고,분노
"경서예지, 전건호",다정히 내 이름을 부르면,내 곁에 머물러줘서,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,내 사랑도 피어나,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,선명한 목소리로,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,기분 좋은 바람이,슬픔
"경서예지, 전건호",다정히 내 이름을 부르면,일어나고 있는 거 아니,슬픔
"경서예지, 전건호",다정히 내 이름을 부르면,마음 다해 고맙다고,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,아주 작은 소리로,슬픔
"경서예지, 전건호",다정히 내 이름을 부르면,부르면 내 마음이,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,난 더 바랄 게 없어,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,설레는 지금이,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,꿈이 아닌 걸 알잖아,분노
"경서예지, 전건호",다정히 내 이름을 부르면,잠들지 않는 바다 위를,기쁨
"경서예지, 전건호",다정히 내 이름을 부르면,선물 같아 널 안으면,기쁨
경서,나의 X에게,같이 별 보러 갈래,불안
경서,나의 X에게,네가 보고 싶어,분노
경서,나의 X에게,우리 다시 만날래,기쁨
경서,나의 X에게,널 다시 만나면,기쁨
경서,나의 X에게,네가 생각났어,분노
경서,나의 X에게,늘 집에 갈 땐,불안
경서,나의 X에게,이어폰 하나씩,분노
경서,나의 X에게,토요일마다 가던,기쁨
경서,나의 X에게,예쁘게 빛나던,기쁨
경서,나의 X에게,벚꽃엔딩같이 듣고 있으면,기쁨
경서,나의 X에게,내가 너무 그리워,기쁨
경서,나의 X에게,우리 둘만 없어서,기쁨
경서,나의 X에게,부러울 게 없었어,기쁨
경서,나의 X에게,내 곁에 있어줘,기쁨
경서,나의 X에게,내겐 너뿐이라고,기쁨
경서,나의 X에게,모든 추억들이,슬픔
경서,나의 X에게,너무 그리워,분노
경서,나의 X에게,너만 있으면,분노
경서,나의 X에게,이 밤이 새도록,분노
경서,나의 X에게,행복해 보이는 사람들 속에,기쁨
경서,나의 X에게,잠들고 싶어,기쁨
경서,나의 X에게,생각이 나서,불안
경서,나의 X에게,안녕 그대야,분노
경서,나의 X에게,네 옆에 기대서,분노
경서,나의 X에게,네게 말할 거야,분노
경서,나의 X에게,너의 품에 안길래,분노
경서,나의 X에게,날 보며 웃어주던,분노
경서,나의 X에게,가로수길 걷다가,기쁨
경서,나의 X에게,요즘 어떻게 지내,기쁨
경서,나의 X에게,널 사랑할 때,기쁨
경서,나의 X에게,너를 좋아한다고,분노
경서,나의 X에게,항상 뒤돌아보면,기쁨
WSG워너비 (가야G),그때 그 순간 그대로 (그그그),다시 너를 만나 더욱 더 소중해 같은 마음이란 걸,불안
WSG워너비 (가야G),그때 그 순간 그대로 (그그그),사랑했고 사랑할 거니까,기쁨
WSG워너비 (가야G),그때 그 순간 그대로 (그그그),다시 만나자는 너의 한마디에 울컥 눈물이 나,불안
WSG워너비 (가야G),그때 그 순간 그대로 (그그그),결국 기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼,슬픔
WSG워너비 (가야G),그때 그 순간 그대로 (그그그),결국 너였단 걸,슬픔
WSG워너비 (가야G),그때 그 순간 그대로 (그그그),생각보다 오래 된 것 같은 우리 수다스럽던 그때가 생각나,불안
WSG워너비 (가야G),그때 그 순간 그대로 (그그그),같이 듣던 노래 그때 그 거리를 이제 혼자 아닌 너와 둘이 걸어,불안
WSG워너비 (가야G),그때 그 순간 그대로 (그그그),그때 그 순간처럼 날,기쁨
WSG워너비 (가야G),그때 그 순간 그대로 (그그그),다시 오른쪽에 나란히 발맞춰 같은 노래를 부르죠,불안
WSG워너비 (가야G),그때 그 순간 그대로 (그그그),처음 느낌 그대로 설렘이 가득한 날,기쁨
WSG워너비 (가야G),그때 그 순간 그대로 (그그그),사실 궁금한 게 너무 많았는데 반가움에 멍해졌죠,기쁨
WSG워너비 (가야G),그때 그 순간 그대로 (그그그),그리운 목소리 그리던 얼굴 참 많이도 기다렸어,기쁨
WSG워너비 (가야G),그때 그 순간 그대로 (그그그),서로를 알아보고 그렇게 눈앞에 서있죠,기쁨
WSG워너비 (가야G),그때 그 순간 그대로 (그그그),우리 사랑했던 우리 다시 만나 그때 그 순간 그대로,기쁨
WSG워너비 (가야G),그때 그 순간 그대로 (그그그),뭐가 그렇게도 할 말이 많아서 밤을 지새우곤 했죠,기쁨
WSG워너비 (가야G),그때 그 순간 그대로 (그그그),그리운 만남을 그리던 날들 참 많이도 기다렸어,기쁨
WSG워너비 (가야G),그때 그 순간 그대로 (그그그),잘 지냈지  조금은 어색해 요즘 좋아 보여 인사 나누며,분노
WSG워너비 (가야G),그때 그 순간 그대로 (그그그),고마워 다시 돌아와줘서,기쁨
WSG워너비 (가야G),그때 그 순간 그대로 (그그그),기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼,슬픔
아이유,드라마,올림픽대로 뚝섬 유원지,기쁨
아이유,드라마,모두 날 위해 피어났지,슬픔
아이유,드라마,나의 드라마는 또 이렇게 끝나,슬픔
아이유,드라마,단역을 맡은 그냥 평범한 여자,기쁨
아이유,드라마,꽃송이의 꽃잎 하나하나까지,분노
아이유,드라마,예쁘다는 말 들을 수 있을까,기쁨
아이유,드라마,서촌 골목골목 예쁜 식당,기쁨
아이유,드라마,하루 단 하루만 기회가 온다면,분노
아이유,드라마,다시 누군가 사랑할 수 있을까,불안
아이유,드라마,혼자 남겨진 나는,기쁨
아이유,드라마,나왔는지조차 모르게,슬픔
아이유,드라마,언제부턴가 급격하게,기쁨
아이유,드라마,나를 휘청거리게 만든,슬픔
아이유,드라마,죽을힘을 다해 빛나리,기쁨
아이유,드라마,조명이 꺼진 세트장에,분노
아이유,드라마,내가 온 세상 주인공이 된 듯,기쁨
아이유,드라마,끝났는지조차 모르게,분노
아이유,드라마,주옥같은 대사들,기쁨
아이유,드라마,꽃도 하늘도 한강도 거짓말,분노
아이유,드라마,나도 한때는 그이의 손을 잡고,슬픔
아이유,드라마,단조로 바뀌던 배경음악,기쁨
MSG워너비(M.O.M),듣고 싶을까,후회도 미련도 없는 척 떠났지만,기쁨
